행정구역,2022년_총인구수,2022년_세대수,2022년_세대당 인구,2022년_남자 인구수,2022년_여자 인구수,2022년_남여 비율
서울특별시  (1100000000),"9,428,372","4,446,296",2.12,"4,570,048","4,858,324",0.94
서울특별시 서울특별시 종로구 (1111000000),"141,379","72,524",1.95,"68,395","72,984",0.94
서울특별시 서울특별시 중구 (1114000000),"120,437","63,139",1.91,"58,563","61,874",0.95
서울특별시 서울특별시 용산구 (1117000000),"218,650","109,805",1.99,"105,087","113,563",0.93
서울특별시 서울특별시 성동구 (1120000000),"281,000","133,305",2.11,"136,633","144,367",0.95
서울특별시 서울특별시 광진구 (1121500000),"337,416","169,291",1.99,"162,541","174,875",0.93
서울특별시 서울특별시 동대문구 (1123000000),"336,644","169,873",1.98,"165,755","170,889",0.97
서울특별시 서울특별시 중랑구 (1126000000),"385,318","187,413",2.06,"189,537","195,781",0.97
서울특별시 서울특별시 성북구 (1129000000),"430,397","197,082",2.18,"206,961","223,436",0.93
서울특별시 서울특별시 강북구 (1130500000),"293,660","144,313",2.03,"142,567","151,093",0.94
서울특별시 서울특별시 도봉구 (1132000000),"311,694","138,356",2.25,"151,398","160,296",0.94
서울특별시 서울특별시 노원구 (1135000000),"503,734","217,540",2.32,"242,145","261,589",0.93
서울특별시 서울특별시 은평구 (1138000000),"466,746","213,876",2.18,"222,592","244,154",0.91
서울특별시 서울특별시 서대문구 (1141000000),"306,337","145,797",2.1,"145,816","160,521",0.91
서울특별시 서울특별시 마포구 (1144000000),"364,638","180,084",2.02,"171,043","193,595",0.88
서울특별시 서울특별시 양천구 (1147000000),"440,881","181,187",2.43,"215,682","225,199",0.96
서울특별시 서울특별시 강서구 (1150000000),"569,166","273,697",2.08,"273,203","295,963",0.92
서울특별시 서울특별시 구로구 (1153000000),"395,315","183,655",2.15,"194,274","201,041",0.97
서울특별시 서울특별시 금천구 (1154500000),"229,642","119,583",1.92,"115,786","113,856",1.02
서울특별시 서울특별시 영등포구 (1156000000),"375,675","188,832",1.99,"184,660","191,015",0.97
서울특별시 서울특별시 동작구 (1159000000),"380,596","185,773",2.05,"184,030","196,566",0.94
서울특별시 서울특별시 관악구 (1162000000),"486,752","283,623",1.72,"244,748","242,004",1.01
서울특별시 서울특별시 서초구 (1165000000),"404,325","167,749",2.41,"193,159","211,166",0.91
서울특별시 서울특별시 강남구 (1168000000),"529,102","232,777",2.27,"253,072","276,030",0.92
서울특별시 서울특별시 송파구 (1171000000),"658,801","284,853",2.31,"317,180","341,621",0.93
서울특별시 서울특별시 강동구 (1174000000),"460,067","202,169",2.28,"225,221","234,846",0.96
