자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-23220,2019.11.1 08:48,00646,장한평역 1번출구 (국민은행앞),3,2019.11.1 09:01,00003,중랑센터,7,12,1100
SPB-16216,2019.11.4 08:38,00646,장한평역 1번출구 (국민은행앞),2,2019.11.4 08:56,00003,중랑센터,2,7,1420
SPB-21097,2019.11.4 08:46,00646,장한평역 1번출구 (국민은행앞),1,2019.11.4 08:57,00003,중랑센터,7,10,1020
SPB-22292,2019.11.5 08:34,00646,장한평역 1번출구 (국민은행앞),1,2019.11.5 08:45,00003,중랑센터,2,10,1380
SPB-07935,2019.11.5 12:29,00512,뚝섬역 1번 출구 옆,11,2019.11.5 12:39,00003,중랑센터,7,10,1650
SPB-18401,2019.11.6 08:52,00646,장한평역 1번출구 (국민은행앞),1,2019.11.6 09:09,00003,중랑센터,7,11,1350
SPB-18350,2019.11.6 08:35,00646,장한평역 1번출구 (국민은행앞),1,2019.11.6 09:10,00003,중랑센터,2,9,1390
SPB-11557,2019.11.8 14:52,00003,중랑센터,7,2019.11.8 15:40,00003,중랑센터,7,47,0
SPB-20220,2019.11.11 08:35,00646,장한평역 1번출구 (국민은행앞),2,2019.11.11 08:42,00003,중랑센터,2,6,1160
SPB-20102,2019.11.11 09:45,00646,장한평역 1번출구 (국민은행앞),8,2019.11.11 10:17,00003,중랑센터,7,30,1060
SPB-10000,2019.11.12 08:35,00646,장한평역 1번출구 (국민은행앞),8,2019.11.12 08:44,00003,중랑센터,2,8,1300
SPB-20145,2019.11.13 08:30,00646,장한평역 1번출구 (국민은행앞),9,2019.11.13 08:38,00003,중랑센터,2,7,1060
SPB-19057,2019.11.13 08:55,00646,장한평역 1번출구 (국민은행앞),4,2019.11.13 09:08,00003,중랑센터,7,11,1120
SPB-19645,2019.11.14 09:44,00646,장한평역 1번출구 (국민은행앞),5,2019.11.14 10:01,00003,중랑센터,7,16,1140
SPB-21851,2019.11.14 09:33,00646,장한평역 1번출구 (국민은행앞),10,2019.11.14 10:02,00003,중랑센터,2,28,1220
SPB-13973,2019.11.15 08:42,00646,장한평역 1번출구 (국민은행앞),1,2019.11.15 08:50,00003,중랑센터,2,6,1370
