,구분,죄종,발생검거,건수
0,중부,살인,발생,1
1,중부,살인,검거,2
2,중부,강도,발생,3
3,중부,강도,검거,2
4,중부,"강간,추행",발생,137
5,중부,"강간,추행",검거,87
6,중부,절도,발생,910
7,중부,절도,검거,459
8,중부,폭력,발생,1026
9,중부,폭력,검거,839
10,종로,살인,발생,2
11,종로,살인,검거,-1
12,종로,강도,발생,5
13,종로,강도,검거,4
14,종로,"강간,추행",발생,142
15,종로,"강간,추행",검거,120
16,종로,절도,발생,723
17,종로,절도,검거,333
18,종로,폭력,발생,847
19,종로,폭력,검거,722
20,남대문,살인,발생,-1
21,남대문,살인,검거,-1
22,남대문,강도,발생,2
23,남대문,강도,검거,2
24,남대문,"강간,추행",발생,57
25,남대문,"강간,추행",검거,36
26,남대문,절도,발생,455
27,남대문,절도,검거,265
28,남대문,폭력,발생,480
29,남대문,폭력,검거,427
30,서대문,살인,발생,5
31,서대문,살인,검거,4
32,서대문,강도,발생,6
33,서대문,강도,검거,6
34,서대문,"강간,추행",발생,157
35,서대문,"강간,추행",검거,144
36,서대문,절도,발생,1114
37,서대문,절도,검거,565
38,서대문,폭력,발생,1092
39,서대문,폭력,검거,886
40,혜화,살인,발생,-1
41,혜화,살인,검거,-1
42,혜화,강도,발생,3
43,혜화,강도,검거,3
44,혜화,"강간,추행",발생,86
45,혜화,"강간,추행",검거,60
46,혜화,절도,발생,590
47,혜화,절도,검거,283
48,혜화,폭력,발생,740
49,혜화,폭력,검거,598
50,용산,살인,발생,5
51,용산,살인,검거,3
52,용산,강도,발생,7
53,용산,강도,검거,7
54,용산,"강간,추행",발생,280
55,용산,"강간,추행",검거,238
56,용산,절도,발생,978
57,용산,절도,검거,508
58,용산,폭력,발생,1697
59,용산,폭력,검거,1337
60,성북,살인,발생,1
61,성북,살인,검거,1
62,성북,강도,발생,-1
63,성북,강도,검거,-1
64,성북,강간,발생,103
65,성북,강간,검거,78
66,성북,절도,발생,540
67,성북,절도,검거,335
68,성북,폭력,발생,732
69,성북,폭력,검거,653
70,동대문,살인,발생,4
71,동대문,살인,검거,4
72,동대문,강도,발생,2
73,동대문,강도,검거,2
74,동대문,"강간,추행",발생,125
75,동대문,"강간,추행",검거,106
76,동대문,절도,발생,1556
77,동대문,절도,검거,823
78,동대문,폭력,발생,1566
79,동대문,폭력,검거,1296
80,마포,살인,발생,2
81,마포,살인,검거,2
82,마포,강도,발생,2
83,마포,강도,검거,1
84,마포,"강간,추행",발생,436
85,마포,"강간,추행",검거,368
86,마포,절도,발생,1451
87,마포,절도,검거,653
88,마포,폭력,발생,2205
89,마포,폭력,검거,1790
90,영등포,살인,발생,5
91,영등포,살인,검거,6
92,영등포,강도,발생,10
93,영등포,강도,검거,9
94,영등포,"강간,추행",발생,327
95,영등포,"강간,추행",검거,237
96,영등포,절도,발생,2062
97,영등포,절도,검거,953
98,영등포,폭력,발생,2415
99,영등포,폭력,검거,1981
100,성동,살인,발생,2
101,성동,살인,검거,2
102,성동,강도,발생,2
103,성동,강도,검거,2
104,성동,"강간,추행",발생,125
105,성동,"강간,추행",검거,97
106,성동,절도,발생,979
107,성동,절도,검거,538
108,성동,폭력,발생,1086
109,성동,폭력,검거,958
110,동작,살인,발생,2
111,동작,살인,검거,3
112,동작,강도,발생,5
113,동작,강도,검거,5
114,동작,"강간,추행",발생,212
115,동작,"강간,추행",검거,107
116,동작,절도,발생,1195
117,동작,절도,검거,588
118,동작,폭력,발생,1321
119,동작,폭력,검거,1038
120,광진,살인,발생,6
121,광진,살인,검거,5
122,광진,강도,발생,-1
123,광진,강도,검거,-1
124,광진,"강간,추행",발생,230
125,광진,"강간,추행",검거,174
126,광진,절도,발생,1670
127,광진,절도,검거,831
128,광진,폭력,발생,1713
129,광진,폭력,검거,1488
130,서부,살인,발생,2
131,서부,살인,검거,2
132,서부,강도,발생,2
133,서부,강도,검거,2
134,서부,"강간,추행",발생,82
135,서부,"강간,추행",검거,64
136,서부,절도,발생,726
137,서부,절도,검거,460
138,서부,폭력,발생,908
139,서부,폭력,검거,779
140,강북,살인,발생,5
141,강북,살인,검거,4
142,강북,강도,발생,5
143,강북,강도,검거,6
144,강북,"강간,추행",발생,177
145,강북,"강간,추행",검거,147
146,강북,절도,발생,872
147,강북,절도,검거,589
148,강북,폭력,발생,1773
149,강북,폭력,검거,1597
150,금천,살인,발생,2
151,금천,살인,검거,1
152,금천,강도,발생,3
153,금천,강도,검거,3
154,금천,"강간,추행",발생,127
155,금천,"강간,추행",검거,87
156,금천,절도,발생,1118
157,금천,절도,검거,662
158,금천,폭력,발생,1327
159,금천,폭력,검거,1134
160,중랑,살인,발생,2
161,중랑,살인,검거,2
162,중랑,강도,발생,2
163,중랑,강도,검거,2
164,중랑,"강간,추행",발생,150
165,중랑,"강간,추행",검거,121
166,중랑,절도,발생,1508
167,중랑,절도,검거,882
168,중랑,폭력,발생,1937
169,중랑,폭력,검거,1664
170,강남,살인,발생,6
171,강남,살인,검거,5
172,강남,강도,발생,9
173,강남,강도,검거,8
174,강남,"강간,추행",발생,458
175,강남,"강간,추행",검거,359
176,강남,절도,발생,1565
177,강남,절도,검거,654
178,강남,폭력,발생,2494
179,강남,폭력,검거,2178
180,관악,살인,발생,10
181,관악,살인,검거,8
182,관악,강도,발생,9
183,관악,강도,검거,8
184,관악,"강간,추행",발생,327
185,관악,"강간,추행",검거,279
186,관악,절도,발생,1966
187,관악,절도,검거,1050
188,관악,폭력,발생,2567
189,관악,폭력,검거,2066
190,강서,살인,발생,3
191,강서,살인,검거,3
192,강서,강도,발생,7
193,강서,강도,검거,7
194,강서,"강간,추행",발생,261
195,강서,"강간,추행",검거,195
196,강서,절도,발생,1991
197,강서,절도,검거,1185
198,강서,폭력,발생,2401
199,강서,폭력,검거,2201
200,강동,살인,발생,5
201,강동,살인,검거,6
202,강동,강도,발생,5
203,강동,강도,검거,5
204,강동,"강간,추행",발생,157
205,강동,"강간,추행",검거,134
206,강동,절도,발생,1672
207,강동,절도,검거,900
208,강동,폭력,발생,1872
209,강동,폭력,검거,1599
210,종암,살인,발생,2
211,종암,살인,검거,2
212,종암,강도,발생,1
213,종암,강도,검거,1
214,종암,강간,발생,55
215,종암,강간,검거,51
216,종암,절도,발생,603
217,종암,절도,검거,380
218,종암,폭력,발생,712
219,종암,폭력,검거,624
220,구로,살인,발생,11
221,구로,살인,검거,11
222,구로,강도,발생,8
223,구로,강도,검거,9
224,구로,"강간,추행",발생,217
225,구로,"강간,추행",검거,145
226,구로,절도,발생,1565
227,구로,절도,검거,841
228,구로,폭력,발생,2056
229,구로,폭력,검거,1726
