구분,죄종,발생검거,건수
중부,살인,발생,1
중부,살인,검거,2
중부,강도,발생,3
중부,강도,검거,2
중부,"강간,추행",발생,137
중부,"강간,추행",검거,87
중부,절도,발생,910
중부,절도,검거,459
중부,폭력,발생,1026
중부,폭력,검거,839
종로,살인,발생,2
종로,살인,검거,-1
종로,강도,발생,5
종로,강도,검거,4
종로,"강간,추행",발생,142
종로,"강간,추행",검거,120
종로,절도,발생,723
종로,절도,검거,333
종로,폭력,발생,847
종로,폭력,검거,722
남대문,살인,발생,-1
남대문,살인,검거,-1
남대문,강도,발생,2
남대문,강도,검거,2
남대문,"강간,추행",발생,57
남대문,"강간,추행",검거,36
남대문,절도,발생,455
남대문,절도,검거,265
남대문,폭력,발생,480
남대문,폭력,검거,427
서대문,살인,발생,5
서대문,살인,검거,4
서대문,강도,발생,6
서대문,강도,검거,6
서대문,"강간,추행",발생,157
서대문,"강간,추행",검거,144
서대문,절도,발생,1114
서대문,절도,검거,565
서대문,폭력,발생,1092
서대문,폭력,검거,886
혜화,살인,발생,-1
혜화,살인,검거,-1
혜화,강도,발생,3
혜화,강도,검거,3
혜화,"강간,추행",발생,86
혜화,"강간,추행",검거,60
혜화,절도,발생,590
혜화,절도,검거,283
혜화,폭력,발생,740
혜화,폭력,검거,598
용산,살인,발생,5
용산,살인,검거,3
용산,강도,발생,7
용산,강도,검거,7
용산,"강간,추행",발생,280
용산,"강간,추행",검거,238
용산,절도,발생,978
용산,절도,검거,508
용산,폭력,발생,1697
용산,폭력,검거,1337
성북,살인,발생,1
성북,살인,검거,1
성북,강도,발생,-1
성북,강도,검거,-1
성북,강간,발생,103
성북,강간,검거,78
성북,절도,발생,540
성북,절도,검거,335
성북,폭력,발생,732
성북,폭력,검거,653
동대문,살인,발생,4
동대문,살인,검거,4
동대문,강도,발생,2
동대문,강도,검거,2
동대문,"강간,추행",발생,125
동대문,"강간,추행",검거,106
동대문,절도,발생,1556
동대문,절도,검거,823
동대문,폭력,발생,1566
동대문,폭력,검거,1296
마포,살인,발생,2
마포,살인,검거,2
마포,강도,발생,2
마포,강도,검거,1
마포,"강간,추행",발생,436
마포,"강간,추행",검거,368
마포,절도,발생,1451
마포,절도,검거,653
마포,폭력,발생,2205
마포,폭력,검거,1790
영등포,살인,발생,5
영등포,살인,검거,6
영등포,강도,발생,10
영등포,강도,검거,9
영등포,"강간,추행",발생,327
영등포,"강간,추행",검거,237
영등포,절도,발생,2062
영등포,절도,검거,953
영등포,폭력,발생,2415
영등포,폭력,검거,1981
성동,살인,발생,2
성동,살인,검거,2
성동,강도,발생,2
성동,강도,검거,2
성동,"강간,추행",발생,125
성동,"강간,추행",검거,97
성동,절도,발생,979
성동,절도,검거,538
성동,폭력,발생,1086
성동,폭력,검거,958
동작,살인,발생,2
동작,살인,검거,3
동작,강도,발생,5
동작,강도,검거,5
동작,"강간,추행",발생,212
동작,"강간,추행",검거,107
동작,절도,발생,1195
동작,절도,검거,588
동작,폭력,발생,1321
동작,폭력,검거,1038
광진,살인,발생,6
광진,살인,검거,5
광진,강도,발생,-1
광진,강도,검거,-1
광진,"강간,추행",발생,230
광진,"강간,추행",검거,174
광진,절도,발생,1670
광진,절도,검거,831
광진,폭력,발생,1713
광진,폭력,검거,1488
서부,살인,발생,2
서부,살인,검거,2
서부,강도,발생,2
서부,강도,검거,2
서부,"강간,추행",발생,82
서부,"강간,추행",검거,64
서부,절도,발생,726
서부,절도,검거,460
서부,폭력,발생,908
서부,폭력,검거,779
강북,살인,발생,5
강북,살인,검거,4
강북,강도,발생,5
강북,강도,검거,6
강북,"강간,추행",발생,177
강북,"강간,추행",검거,147
강북,절도,발생,872
강북,절도,검거,589
강북,폭력,발생,1773
강북,폭력,검거,1597
금천,살인,발생,2
금천,살인,검거,1
금천,강도,발생,3
금천,강도,검거,3
금천,"강간,추행",발생,127
금천,"강간,추행",검거,87
금천,절도,발생,1118
금천,절도,검거,662
금천,폭력,발생,1327
금천,폭력,검거,1134
중랑,살인,발생,2
중랑,살인,검거,2
중랑,강도,발생,2
중랑,강도,검거,2
중랑,"강간,추행",발생,150
중랑,"강간,추행",검거,121
중랑,절도,발생,1508
중랑,절도,검거,882
중랑,폭력,발생,1937
중랑,폭력,검거,1664
강남,살인,발생,6
강남,살인,검거,5
강남,강도,발생,9
강남,강도,검거,8
강남,"강간,추행",발생,458
강남,"강간,추행",검거,359
강남,절도,발생,1565
강남,절도,검거,654
강남,폭력,발생,2494
강남,폭력,검거,2178
관악,살인,발생,10
관악,살인,검거,8
관악,강도,발생,9
관악,강도,검거,8
관악,"강간,추행",발생,327
관악,"강간,추행",검거,279
관악,절도,발생,1966
관악,절도,검거,1050
관악,폭력,발생,2567
관악,폭력,검거,2066
강서,살인,발생,3
강서,살인,검거,3
강서,강도,발생,7
강서,강도,검거,7
강서,"강간,추행",발생,261
강서,"강간,추행",검거,195
강서,절도,발생,1991
강서,절도,검거,1185
강서,폭력,발생,2401
강서,폭력,검거,2201
강동,살인,발생,5
강동,살인,검거,6
강동,강도,발생,5
강동,강도,검거,5
강동,"강간,추행",발생,157
강동,"강간,추행",검거,134
강동,절도,발생,1672
강동,절도,검거,900
강동,폭력,발생,1872
강동,폭력,검거,1599
종암,살인,발생,2
종암,살인,검거,2
종암,강도,발생,1
종암,강도,검거,1
종암,강간,발생,55
종암,강간,검거,51
종암,절도,발생,603
종암,절도,검거,380
종암,폭력,발생,712
종암,폭력,검거,624
구로,살인,발생,11
구로,살인,검거,11
구로,강도,발생,8
구로,강도,검거,9
구로,"강간,추행",발생,217
구로,"강간,추행",검거,145
구로,절도,발생,1565
구로,절도,검거,841
구로,폭력,발생,2056
구로,폭력,검거,1726
서초,살인,발생,2
서초,살인,검거,1
서초,강도,발생,3
서초,강도,검거,3
서초,"강간,추행",발생,370
서초,"강간,추행",검거,282
서초,절도,발생,1616
서초,절도,검거,836
서초,폭력,발생,1710
서초,폭력,검거,1386
양천,살인,발생,2
양천,살인,검거,2
양천,강도,발생,3
양천,강도,검거,3
양천,강간,발생,114
양천,강간,검거,92
양천,절도,발생,1474
양천,절도,검거,781
양천,폭력,발생,1576
양천,폭력,검거,1252
송파,살인,발생,2
송파,살인,검거,2
송파,강도,발생,5
송파,강도,검거,6
송파,"강간,추행",발생,290
송파,"강간,추행",검거,220
송파,절도,발생,2201
송파,절도,검거,1033
송파,폭력,발생,2669
송파,폭력,검거,2148
노원,살인,발생,3
노원,살인,검거,3
노원,강도,발생,3
노원,강도,검거,1
노원,"강간,추행",발생,180
노원,"강간,추행",검거,151
노원,절도,발생,1504
노원,절도,검거,729
노원,폭력,발생,2206
노원,폭력,검거,1757
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,-1
방배,강도,검거,-1
방배,강간,발생,61
방배,강간,검거,46
방배,절도,발생,305
방배,절도,검거,188
방배,폭력,발생,391
방배,폭력,검거,355
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,3
은평,강도,검거,2
은평,"강간,추행",발생,94
은평,"강간,추행",검거,82
은평,절도,발생,771
은평,절도,검거,486
은평,폭력,발생,897
은평,폭력,검거,779
도봉,살인,발생,3
도봉,살인,검거,3
도봉,강도,발생,-1
도봉,강도,검거,-1
도봉,강간,발생,70
도봉,강간,검거,54
도봉,절도,발생,969
도봉,절도,검거,546
